,E,F,HC,U,IT,CD,CS,M,I,RE
0,6.0,4.0,3.3333333333333335,2.0,8.2,7.2,4.4,13.0,7.0476190476190474,11.0
1,9.0,4.0,5.333333333333333,2.0,5.6,7.133333333333334,4.8,14.0,7.238095238095238,13.0
2,11.0,4.0,6.0,2.0,5.4,7.266666666666667,4.8,13.0,8.571428571428571,11.0
3,11.0,4.0,2.6666666666666665,2.0,5.4,7.8,5.0,13.0,7.619047619047619,11.0
4,5.0,4.0,3.3333333333333335,2.0,6.4,6.666666666666667,5.2,14.0,8.0,17.0
5,11.0,4.0,4.666666666666667,2.0,6.4,7.266666666666667,4.6,19.0,8.0,14.0
6,7.0,4.0,2.6666666666666665,2.0,5.6,7.666666666666667,4.0,15.0,8.857142857142858,10.0
7,9.0,4.0,2.6666666666666665,2.0,7.6,7.466666666666667,5.0,12.0,7.523809523809524,12.0
8,9.0,4.0,4.666666666666667,2.0,6.4,8.533333333333333,4.8,16.0,7.619047619047619,11.0
9,8.0,4.0,4.0,2.0,5.6,7.466666666666667,5.0,14.0,7.809523809523809,12.0
(average),8.6,4.0,3.9333333333333336,2.0,6.26,7.446666666666667,4.76,14.3,7.828571428571427,12.2
single,8.0,4.333333333333333,16.0,2.0,9.8,10.666666666666666,10.0,20.0,12.666666666666666,9.0
average,4.0,4.0,11.333333333333334,2.0,8.6,8.466666666666667,8.4,15.0,9.428571428571429,2.0
complete,7.0,4.0,2.6666666666666665,2.0,6.8,6.933333333333334,7.2,7.0,6.9523809523809526,2.0
