,E,F,HC,U,IT,CD,CS,M,I,RE
0,12.0,4.380952380952381,3.8,2.0,6.107142857142857,7.178571428571429,7.466666666666667,10.666666666666666,6.666666666666667,12.0
1,11.0,4.476190476190476,4.4,2.0,6.607142857142857,8.5,5.333333333333333,10.666666666666666,6.666666666666667,14.0
2,11.0,4.380952380952381,3.6,2.0,8.142857142857142,7.678571428571429,6.266666666666667,9.333333333333334,8.380952380952381,12.0
3,11.0,4.9523809523809526,3.6,2.0,6.928571428571429,6.821428571428571,6.266666666666667,11.333333333333334,7.0476190476190474,13.0
4,11.0,4.857142857142857,4.0,2.0,8.214285714285714,10.678571428571429,6.466666666666667,8.666666666666666,8.761904761904763,17.0
5,15.0,4.476190476190476,3.6,2.0,9.107142857142858,7.785714285714286,5.333333333333333,8.666666666666666,7.238095238095238,13.0
6,7.0,4.476190476190476,3.6,2.0,6.642857142857143,8.642857142857142,7.466666666666667,11.333333333333334,6.190476190476191,15.0
7,13.0,4.476190476190476,6.0,2.0,7.392857142857143,6.071428571428571,5.6,12.0,7.238095238095238,12.0
8,11.0,4.380952380952381,3.8,2.0,6.392857142857143,7.928571428571429,7.133333333333334,10.0,6.666666666666667,14.0
9,11.0,4.380952380952381,3.8,2.0,7.392857142857143,7.071428571428571,8.133333333333333,12.0,7.428571428571429,11.0
(average),11.3,4.523809523809524,4.02,2.0,7.292857142857143,7.835714285714286,6.546666666666667,10.466666666666665,7.2285714285714295,13.3
single,8.0,4.857142857142857,17.8,2.0,12.821428571428571,11.214285714285714,14.533333333333333,18.0,15.428571428571429,10.0
average,9.0,4.571428571428571,5.2,2.0,9.642857142857142,10.0,8.266666666666667,12.666666666666666,10.19047619047619,2.0
complete,6.0,4.476190476190476,3.6,2.0,7.107142857142857,9.392857142857142,6.266666666666667,7.333333333333333,8.0,2.0
