,HC,E,IT,CS,M,F,U,CD,I
0,1.2091270455031666,1.1302241078904391,1.1815339506967208,1.0954800821071249,1.0753734010831535,0.9651173562249463,0.9009029045235,1.1889941160759765,1.1141773989898462
1,1.2034723506337885,1.1349267985606961,1.176606608823438,1.1241527838126155,1.0786293793893864,0.9574849275639292,0.9009029045234993,1.1932892635998567,1.1129359188115193
2,1.1860691115024626,1.1277393408337348,1.1727659824570904,1.136781886706588,1.0823550821837478,0.956648299344017,0.9009029045234905,1.1853234692873258,1.118088841481858
3,1.197071711784581,1.1344119927402605,1.1795720788658546,1.1367818867065955,1.07926377927219,0.9720150172483677,0.9009029045235009,1.1933640526567657,1.1164560599280102
4,1.1981252668232436,1.1328077748257914,1.1821264790027302,1.0954800821071233,1.0824360861663276,0.972238819344663,0.9009029045234973,1.189512271027319,1.1173263333655223
5,1.2062338857494541,1.1338387643987204,1.175821432342516,1.0954800821071242,1.0756913497398322,0.96899132051915,0.9009029045234994,1.1907137091379565,1.1128542135280057
6,1.2068016658440508,1.1357141253843623,1.180699737476245,1.138852989252595,1.0586010300066637,0.9633340624908455,0.9009029045235024,1.188139265536995,1.1136426987916987
7,1.2011566078901634,1.1304993799859233,1.1869267147968403,1.1367818867065926,1.0744535007491294,0.9626442479702642,0.9009029045234979,1.1905054746616914,1.1153648059562489
8,1.2057639928944985,1.1405597873755362,1.1753980802399748,1.0954800821071222,1.079182640038335,0.9693454627742673,0.9009029045234985,1.1926229697876831,1.1240197235106617
9,1.1977621432619598,1.1293048670315011,1.1870683049226938,1.0954800821071247,1.0833919829365162,0.9574785979465819,0.9009029045234985,1.188806891331026,1.1184130662377036
(average),1.2011583781887372,1.133002693902697,1.17985193696241,1.1150751843720608,1.0769378231565283,0.9645298111427032,0.9009029045234984,1.1901271483102596,1.1163279060601075
single,13.535714285714286,14.666666666666666,10.857142857142858,7.666666666666667,7.533333333333333,14.254545454545454,3.6,19.857142857142858,12.857142857142858
average,10.5,4.666666666666667,8.571428571428571,4.666666666666667,6.4,9.709090909090909,3.6,13.071428571428571,10.285714285714286
complete,9.25,4.666666666666667,8.380952380952381,3.1666666666666665,5.866666666666666,7.963636363636364,3.6,9.642857142857142,9.142857142857142
