,CD,CS,E,F,HC,I,IT,M,RE,U
0,7.818181818181818,5.809523809523809,6.8,4.571428571428571,5.277777777777778,9.11111111111111,7.927272727272728,9.666666666666666,10.0,3.3333333333333335
1,9.018181818181818,6.571428571428571,5.6,4.476190476190476,5.166666666666667,9.61111111111111,8.545454545454545,9.833333333333334,12.0,3.1666666666666665
2,8.909090909090908,6.285714285714286,5.2,4.476190476190476,5.111111111111111,9.555555555555555,8.50909090909091,10.5,8.666666666666666,3.3333333333333335
3,8.145454545454545,5.809523809523809,4.0,4.571428571428571,5.111111111111111,8.944444444444445,6.9818181818181815,11.666666666666666,11.333333333333334,3.3333333333333335
4,9.018181818181818,5.809523809523809,5.2,4.476190476190476,5.0,9.722222222222221,8.981818181818182,11.0,10.666666666666666,3.3333333333333335
5,9.345454545454546,5.523809523809524,5.6,4.571428571428571,5.722222222222222,8.666666666666666,7.8545454545454545,11.166666666666666,13.333333333333334,3.3333333333333335
6,7.818181818181818,6.095238095238095,6.4,4.571428571428571,5.0,10.277777777777779,7.236363636363636,10.166666666666666,12.666666666666666,3.1666666666666665
7,7.636363636363637,5.523809523809524,4.0,4.571428571428571,5.111111111111111,9.61111111111111,8.0,10.166666666666666,8.0,3.1666666666666665
8,8.254545454545454,6.095238095238095,6.0,4.571428571428571,5.0,8.555555555555555,8.363636363636363,10.666666666666666,12.0,3.1666666666666665
9,6.945454545454545,6.0,6.4,4.571428571428571,5.166666666666667,8.722222222222221,7.890909090909091,10.0,11.333333333333334,3.1666666666666665
(average),8.290909090909091,5.9523809523809526,5.52,4.542857142857142,5.166666666666666,9.277777777777777,8.029090909090908,10.483333333333334,11.0,3.25
single,9.8,18.833333333333332,16.98181818181818,23.0,17.818181818181817,16.285714285714285,3.1666666666666665,11.333333333333334,4.857142857142857,18.0
average,5.2,10.61111111111111,9.818181818181818,12.0,10.10909090909091,8.095238095238095,3.3333333333333335,2.6666666666666665,4.571428571428571,12.222222222222221
complete,6.4,8.333333333333334,9.090909090909092,9.333333333333334,8.545454545454545,6.380952380952381,3.3333333333333335,10.0,4.476190476190476,7.0
